"Protein","Active_mean","Inactive_mean","Healthy_control_mean","Active/Healthy_control","Inactive/Healthy_control","Active/Inactive","log(Active_and_Healthy_control)","log(Inactive_and_Healthy_control)","log(Active_and_Inactive)"
"PUR9_23666.35",2719.35362962963,2745.34316666667,4892.17448148148,0.555857858284347,0.561170329688508,0.990533228285412,-0.847212084898133,-0.833489362377937,-0.0137227225201957
"MID51_23668.281",2367.01662962963,2436.06168518519,2470.97851851852,0.957926834203634,0.985869228294924,0.971657098843001,-0.0620126267783312,-0.0205318034592262,-0.0414808233191049
"GFPT2_23669.20",1466.28774074074,1555.19911111111,1477.48837037037,0.992419141934212,1.05259651601945,0.942829590285164,-0.0109785324631159,0.0739525247867832,-0.084931057249899
"DPH2_23670.11",345.192574074074,559.994907407407,415.930259259259,0.829928975806753,1.34636731745537,0.616420916526192,-0.26894021702505,0.429072061342787,-0.698012278367837
"SPDLY_23671.11",512.06012962963,505.363537037037,468.917777777778,1.09200408663605,1.07772313396173,1.01325104029439,0.126978255304043,0.107986598718415,0.0189916565856275
"PSMD6_23672.10",1856.17146296296,1835.21381481481,2383.86848148148,0.778638367587051,0.76984692279429,1.01141973103023,-0.360974659316232,-0.377356487625928,0.0163818283096958
"ODB2_23673.9",1485.54451851852,1567.40864814815,2164.54748148148,0.686307198723018,0.724127634786448,0.947771036145328,-0.543073607599816,-0.465684085639095,-0.0773895219607215
"CEP76_23675.16",5852.58481481481,6160.72168518519,3719.30022222222,1.57357149601599,1.65641957279379,0.949983640534947,0.654042729703642,0.72806815527618,-0.074025425572538
"SPN90_23677.30",15542.1063333333,14302.7246296296,34397.9654074074,0.451832140338929,0.415801471401841,1.0866535388045,-1.14614119675848,-1.26603323139915,0.119892034640675
"SOX10_23678.132",218.734425925926,212.906092592593,217.56162962963,1.00539063941694,0.978601295435401,1.02737513643861,0.00775616214908138,-0.0312069023299872,0.0389630644790685
"DCC1_23679.43",499.242351851852,535.4665,460.551907407407,1.08400886810402,1.16266264754892,0.932350299882163,0.116376559198576,0.217432552262432,-0.101055993063856
"MCPIP_23680.1",1135.99722222222,1171.4495,2091.76501851852,0.543080705607548,0.560029204824198,0.969736401118633,-0.880761486309053,-0.83642603100924,-0.044335455299813
"HENMT_23682.79",1649.76251851852,1732.84677777778,1620.56953703704,1.01801402581888,1.06928258132386,0.952053314623808,0.0257574384666062,0.0966431671845304,-0.0708857287179242
"TRI55_23683.79",160.462462962963,155.633722222222,161.656277777778,0.992615103903011,0.962744684967728,1.0310263140391,-0.010693687642831,-0.054774841541151,0.0440811538983201
"M1AP_23685.132",847.62637037037,753.877092592593,681.158666666667,1.24438902688904,1.10675695617554,1.1243561831218,0.315437578253526,0.146338441073839,0.169099137179686
"C19L1_23686.44",1103.81425925926,1329.74377777778,1065.10542592593,1.03634272475861,1.24846211972096,0.830095449744398,0.0515011898413425,0.320152048322763,-0.26865085848142
"TBC20_23687.27",1525.45746296296,1534.16224074074,3093.16596296296,0.493170260253904,0.49598445706132,0.994326038311584,-1.01984229165482,-1.0116331840976,-0.00820910755722433
"CPNE6_23689.52",2028.59859259259,1928.3585,692.266592592593,2.93037193228599,2.78557209120571,1.05198208351434,1.55108378779106,1.47797365373605,0.0731101340550072
"RBM41_23690.228",593.5275,780.242481481481,690.271537037037,0.859846405586551,1.1303413796122,0.76069621186614,-0.217849120757186,0.176758553431608,-0.394607674188794
"TTL12_23691.2",2369.57805555555,2139.7467037037,2575.61325925926,0.920005380092289,0.830771737958474,1.10741054137578,-0.120285796967962,-0.267475956943469,0.147190159975508
"ACSS3_23692.19",1104.5487962963,1172.74896296296,929.4,1.18845362201022,1.26183447704214,0.941845894713598,0.249085604919913,0.335522675128554,-0.0864370702086406
"MKNK1_23693.4",1612.17409259259,1824.50355555556,2176.92398148148,0.740574363784373,0.838110825677023,0.88362343152666,-0.433283485806252,-0.254787066854157,-0.178496418952095
"ASNS_23694.3",5901.58333333333,5741.21348148148,3065.22368518519,1.92533529016392,1.87301615514387,1.02793309330321,0.945109707799813,0.905363343171686,0.0397463646281265
"FSD1_23695.1",451.994648148148,463.802111111111,418.19237037037,1.08082949420584,1.10906401927024,0.974542024108782,0.112138949283929,0.14934264558795,-0.037203696304021
"TRM6_23696.256",3679.74811111111,3849.14698148148,2643.5862962963,1.39195308897859,1.45603227966274,0.955990542531797,0.47711059090046,0.542042339872557,-0.064931748972097
"ODO2_23699.61",332.765018518519,343.310907407407,420.049944444444,0.792203457992672,0.817309731730755,0.969281812312552,-0.336057096222474,-0.291045182059458,-0.0450119141630154
"ABCF3_23700.42",807.812055555556,847.696740740741,1561.28335185185,0.517402593576241,0.54294868368082,0.952949347014909,-0.950640809070732,-0.881112245472289,-0.0695285635984431
"SHKB1_23702.98",863.418888888889,943.36087037037,1271.48111111111,0.679065446858563,0.741938564502932,0.915258323731304,-0.558377469889882,-0.430628364047247,-0.127749105842636
"PDLI5_23703.8",23546.0488518519,22082.6486296296,40602.9344814815,0.579910027502838,0.543868292073847,1.0662692345817,-0.786099010068443,-0.878670776826868,0.0925717667584245
"TMM24_23704.11",2125.51659259259,2121.85640740741,3074.30544444444,0.691381071595732,0.690190498553681,1.00172499193273,-0.532446988378141,-0.534933481710627,0.00248649333248651
"PYRG1_23705.42",11748.5602222222,10963.896,25899.0516666667,0.453628973501883,0.423331948254733,1.07156801033339,-1.14041530603455,-1.24013872399764,0.0997234179630959
"TR61B_23706.13",1071.16546296296,1263.71381481481,973.425574074074,1.10040817859327,1.29821308220391,0.84763294537532,0.138038767387725,0.376527199522658,-0.238488432134932
"CK049_23767.1",5417.76212962963,5442.03016666667,4248.07888888889,1.27534404876522,1.28105675742054,0.995540627983711,0.350886494527563,0.35733439592561,-0.00644790139804776
"ATF5_23771.17",570.167018518518,584.181481481481,527.332185185185,1.08122931718702,1.10780547422178,0.976010086921238,0.112672535730073,0.14770457271037,-0.035032036980297
