"Protein","Adjusted_linear_model","linear_modeling_pvalue","spearman","spearman_pvalue","log_lm_pvalue","log_spear_pvalue"
"STAR_10085.25","~ PGA",0.8355809729438,0.15021330833678,0.428183988835215,0.0780114579205422,0.368369576393568
"CBS_10086.39","~ PGA",0.89851690590437,-0.0809885005791676,0.670513442427514,0.0464737470782055,0.173592511006159
"Alpha.crystallin.A.chain_10087.10","~ PGA",0.284697965888893,0.167858847569113,0.375268031678002,0.545615635790822,0.425658430676668
"APT_10088.37","~ PGA",0.762987065932826,0.0658314348283178,0.729622643944231,0.117482824091795,0.136901696078455
"ASML_10089.7","~ PGA",0.105110395768985,-0.210389121616273,0.264451724415696,0.97835432867364,0.577653596722971
"CHIP_10336.3","~ PGA",0.726192028821067,-0.0436613983569255,0.818798356488015,0.138948522509362,0.0868230377351087
"NSE_10339.48","~ PGA + Prednisone",0.564485423207744,0.154059130989981,0.416314901676198,0.248347268446149,0.380578043593363
"PIAS4_10342.55","~ PGA",0.388076535867511,0.11152885694282,0.557373398233068,0.411082615057779,0.253853762706098
"IL.10.Ra_10344.334","~ PGA",0.41525975659907,-0.11052313975674,0.560955108631314,0.381680154933497,0.251071892493906
"STAT3_10346.5","~ PGA",0.790631517413008,0.0188918775223905,0.921069279935622,0.102025877109509,0.0357077023089486
"IRF1_10351.51","~ PGA + Age",0.311271341601462,0.119220502249222,0.530334788533588,0.506860862476111,0.275449883398838
"STAT3_10354.57","~ PGA",0.193625495916388,-0.281907537639504,0.131231689881716,0.713037456910078,0.881961278688168
"c.Jun_10356.21","~ PGA",0.792750733520837,0.0128962517218714,0.946074664603238,0.100863347454258,0.0240745875457836
"OAS1_10361.25","~ PGA + Smoking",0.110316029400019,0.0963932381247366,0.612354113271094,0.957361378093034,0.212997360592658
"c.Myc_10362.35","~ PGA",0.70893444548235,0.316262357010269,0.0886332199168409,0.149393921772553,1.05240347311794
"SMAD3_10363.13","~ PGA",0.650190605365073,-0.0823458497508855,0.665306869179387,0.186959309936147,0.176977992514717
"SMAD2_10364.6","~ PGA",0.750644944691594,0.013121041993273,0.945136099801073,0.124565435863272,0.0245056484889896
"IL.23_10365.132","~ PGA",0.403925936224518,-0.249752247596092,0.183178885215899,0.393698259735309,0.737124588324884
"PDGFRA_10366.11","~ PGA + Methotrexate",0.109442591982398,0.000226224861952982,0.99905336511149,0.960813629893673,0.000411313020814595
"IL.12_10367.62","~ PGA",0.916582537536108,0.118328765798925,0.533436942519095,0.0378284210645585,0.272916911074665
"STAT1_10370.21","~ PGA",0.506682474635122,-0.0273732082963108,0.885828064935193,0.295264117025468,0.0526505644515657
"STAT6_10372.18","~ PGA",0.82663992747397,0.108587933737431,0.5678765204377,0.0826836217220593,0.245746087391811
"ANGL3_10382.1","~ PGA",0.691358767090245,0.0185545669629775,0.922474332628043,0.160296525515576,0.035045709020487
"ZNRF3_10390.21","~ PGA",0.455256117112873,-0.154511580713887,0.41493071700866,0.341744210034925,0.38202441348733
