"Protein","Nominal_pvalue","Active_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change","Absolute_nominal_pvalue_and_fold_change"
"GON2_10708.3",0.407379508502764,271.122654318519,241.432139911111,0.167327922917945,0.0652580271681794,0.0652580271681794
"CRTAM_7968.15",0.313426303530518,572.073024674074,625.639711962963,-0.129132771773579,-0.0650654271335605,0.0650654271335605
"X4.1BB_14025.18",0.0887128352619665,464.377098762963,444.948724281481,0.0616577359187289,0.0648647730619654,0.0648647730619654
"SPB13_18841.1",0.563144044144083,1584.90794235556,1897.58802471852,-0.259767765043733,-0.0647810163407908,0.0647810163407908
"IDE_3197.70",0.248999223544963,1347.60954728889,1451.41578192593,-0.10705830779703,-0.0646420211314235,0.0646420211314235
"MD2BP_21129.95",0.157999638197166,3100.50275718519,2931.98921792593,0.0806223743049261,0.0646062484601698,0.0646062484601698
"ARM10_9107.59",0.558312665675872,299.571995885185,357.364218114815,-0.254492422201874,-0.0644177631759285,0.0644177631759285
"IMPA2_12581.39",0.1788232022242,367.747983537037,346.439506174074,0.0861139738639504,0.0643767515254858,0.0643767515254858
"PAHX_23369.17",0.198918196928387,1738.93825096296,1853.15288066667,-0.0917752011535469,-0.064364287555011,0.064364287555011
"ENPP7_4435.66",0.504191357064865,3680.81547322222,3171.13034972222,0.215028245467123,0.0639503900514692,0.0639503900514692
"CABP5_22445.2",0.416406719435341,147.996234551852,131.739197525926,0.167875802773081,0.063873766688398,0.063873766688398
"Annexin.III_17163.117",0.330920807461062,274.046502062963,249.926584348148,0.132916353124765,0.0638365243975812,0.0638365243975812
"TXND3_24273.43",0.196028000540826,194.500637855556,182.725740751852,0.0900950043411701,0.0637586029343878,0.0637586029343878
"TFF1_9185.15",0.425247473716583,1372.56631686296,1218.87152257037,0.17132979210774,0.0636247330955803,0.0636247330955803
"TIG3_10961.15",0.42655557788807,1216.59679007778,1370.01076138148,-0.171336122686159,-0.0633985416406331,0.0633985416406331
"BMP.7_2972.57",0.333547123025826,631.622839533333,576.01683127037,0.132952372132318,0.0633973815211496,0.0633973815211496
"TRAIL.R2_7693.13",0.748082288190973,1637.23907407778,2317.12411518148,-0.501070319827246,-0.063160228293273,0.063160228293273
"HHLA2_14132.21",0.193444539569634,451.07471192963,479.588395062963,-0.0884303410586859,-0.063090054220659,0.063090054220659
"SDHF1_20996.107",0.178138271643277,1128.70195471111,1064.85329231111,0.0840098978432271,0.0629438082036539,0.0629438082036539
"HVEM_5352.11",0.491187237424492,432.264958833333,497.825370385185,-0.203723865212469,-0.0629003394894797,0.0629003394894797
"Otoraplin_15432.1",0.393800177521825,989.367037059259,1101.89672843704,-0.15541127965803,-0.0628986891116659,0.0628986891116659
"SHBG_4929.55",0.435505703662726,4807.63213992222,5424.44497937037,-0.174149019604613,-0.0628688675847117,0.0628688675847117
"LARGE_7935.26",0.330371466760478,1043.10312757037,952.95228397037,0.130405915857046,0.0627249154053619,0.0627249154053619
"EXOC7_25110.19",0.236825879806075,221.335823033333,206.476707818519,0.100257925541816,0.0627184347599678,0.0627184347599678
"CUL9_12991.49",0.312975416988066,283.393847744444,260.043374485185,0.124056158132914,0.0625850630892854,0.0625850630892854
"DHYS_9856.22",0.500107606448293,119.773724278519,103.750432101852,0.207194102231284,0.0623522762228324,0.0623522762228324
"MECP2_19108.50",0.249294366406011,328.363662544444,305.67049382963,0.103317187547672,0.0623299714650503,0.0623299714650503
"TMX2_10675.223",0.319555384110559,153.629814804815,140.855185185185,0.125245552377796,0.0620533924651169,0.0620533924651169
"LIMA1_11543.84",0.258256413853375,917.098539103704,986.701851837037,-0.105537461739525,-0.0620506328370597,0.0620506328370597
"PAPL_8011.96",0.582703515149437,197.75063787037,164.677283951852,0.264040788932287,0.0619313907156934,0.0619313907156934
"Siglec.6_2741.22",0.227779155424149,361.941687244444,338.567057614815,0.0963156754732439,0.0618814751611966,0.0618814751611966
"NF.kappa.B.p105_9869.28",0.436300249903262,7046.68164603704,7937.484959,-0.17173791528883,-0.0618624938572787,0.0618624938572787
"PDE1A_5253.1",0.298409275130197,646.9119959,701.875967062963,-0.117646639932912,-0.0617865661552935,0.0617865661552935
