"Protein","Study_group","Age","Sex","Smoking","Prednisone","Methotrexate","Aspirin"
"PCDH9_10558.26",0.875122059895249,0.492378941380017,0.496900734804603,0.066170067059989,0.985114567189657,0.400004932252858,0.987537369393261
"ITM2C.N.term_10560.1",0.038451012105425,0.293560982163572,0.30918028210738,0.563405722680602,0.719325578298351,0.102387045537818,0.618804606708402
"PGRP.I.alpha_10561.5",0.630836697521376,0.887600086795093,0.49716592542588,0.596029163468422,0.743887429147008,0.68034269725375,0.0145871849834367
"NETO2_10562.42",0.962687526901591,0.818474926039379,0.351405973310076,0.838865143537039,0.283199945026167,0.538515467711026,0.894341659753872
"LYSM3_10563.13",0.416315665006191,0.513595031028885,0.388547222318122,0.26089356579238,0.216294325840324,0.141936052908982,0.468992190212024
"SLIK3_10565.19",0.51604543509088,0.787861547685638,0.355965107013232,0.0176813744400828,0.86537860765788,0.0975654105362415,0.164212813403279
"MFAP2_10569.28",0.0334342734704185,0.0896491587470236,0.4180945248328,0.956403681005537,0.683167897353994,0.368624044609466,0.986290184448714
"MGAT1_10571.14",0.419924528966955,0.0175674964436966,0.0106091237130208,0.780595229655837,0.943683802080999,0.955093948324844,0.182465301156787
"CST8_10572.65",0.392432717775847,0.372718886158349,0.54537649201016,0.925325853603189,0.672049606063168,0.856324274577841,0.540507786156821
"b2.Microglobulin_10574.10",0.486648595120407,0.554715654262558,0.560322280170567,0.332542160654005,0.726624054449029,0.930300584110462,0.753478287362404
"PUF60_10575.31",0.826734935730643,0.153460706392727,0.197627199771637,0.166094766581796,0.377101290666399,0.899447783806192,0.0540516070919282
"PXDC2.ECD_10576.7",0.984586141001615,0.171980860748337,0.978386161198769,0.296469845892796,0.359318544409219,0.302573169951128,0.896941054098977
"SFTA2_10580.14",0.11453767439789,0.784285990448574,0.519955304891149,0.442180524004625,0.642252488318594,0.921018280699218,0.719528592021588
"SG196_10582.36",0.0609442685992353,0.493626226216323,0.294370930845523,0.842455882964368,0.939952828134869,0.927839962795925,0.103654864942264
"TM108_10583.1",0.298037551611813,0.471918607251493,0.0196151648723402,0.103468610755246,0.733912788280011,0.688922941022231,0.128156126762939
"NDUS4_10584.7",0.855388212873822,0.230389309489133,0.224898711823479,0.440241849638249,0.172649058958773,0.595673377697004,0.539262603681678
"SIAT9_10588.39",0.574486292352909,0.296383361967861,0.301743590984266,0.167106920306984,0.813760730269048,0.12181465317246,0.943251795698794
"RET1L_10589.7",0.152890432022139,0.826732909031589,0.661670259942475,0.535852982888881,0.731666919919854,0.0235340841889779,0.549612770589153
"CLGN_10600.24",0.559909460291994,0.128370723550176,0.541837895965908,0.39179965191088,0.941316739406376,0.692718611295577,0.362166671278256
"HIS3_10603.1",0.884562944620066,0.996683871371571,0.898745951022897,0.332775812346296,0.87985570948996,0.621265310335216,0.981592668995178
"APMAP_10605.22",0.962758860411711,0.181762082024973,0.246940747487188,0.929059661834402,0.83173848927096,0.079900818041523,0.9649886445632
"TOIP1.Perinuclear_10606.34",0.086902308278834,0.507523755891079,0.561693763939968,0.508410130334677,0.42574763323391,0.639990987394695,0.372507174767171
"HIS1_10608.9",0.305140552923164,0.192358471678672,0.362521337339263,0.56836016795737,0.665455139227579,0.55186113734687,1.12886208692181e-05
"PLOD3_10612.18",0.00533302198151543,0.508266524548916,0.0419786496674328,0.120756583064733,0.989972117825369,0.508455883649387,0.0754203679093613
"CASC4_10613.33",0.0431242525796771,0.24274949476381,0.83489396007219,0.132674833477576,0.527123296582699,0.950498126492899,0.0416426952049602
"MYP0_10615.18",0.416449651581584,0.761994603522809,0.0392628852506652,0.230745182586072,0.0688521322868539,0.655215732177138,0.249682225999303
"PDXL2_10616.67",0.564702796783514,0.178044790445999,0.898005426298431,0.493816575108767,0.00245390245551431,0.88982166213017,0.516105724642354
